hd,jcd,rno,win_lane,win_racer_id,decision
20240206,03,10,6,4757,抜き
20240206,03,11,1,3541,抜き
20240206,03,12,5,4652,まくり
20240206,03,1,1,5007,逃げ
20240206,03,2,2,4459,差し
20240206,03,3,3,5053,まくり
20240206,03,4,2,4757,まくり
20240206,03,5,6,4420,まくり差し
20240206,03,6,1,4729,逃げ
20240206,03,7,3,5201,差し
20240206,03,8,4,4459,まくり
20240206,03,9,1,4598,逃げ
20240206,04,10,2,4528,差し
20240206,04,11,1,4573,逃げ
20240206,04,12,4,4546,差し
20240206,04,1,6,4528,まくり差し
20240206,04,2,1,3983,逃げ
20240206,04,3,1,4738,逃げ
20240206,04,4,6,4787,差し
20240206,04,5,1,4847,逃げ
20240206,04,6,1,4335,逃げ
20240206,04,7,5,4036,まくり差し
20240206,04,8,2,3978,差し
20240206,04,9,2,4627,差し
20240206,07,10,1,4344,逃げ
20240206,07,11,1,4524,逃げ
20240206,07,12,1,4586,逃げ
20240206,07,1,3,4261,まくり差し
20240206,07,2,4,3422,まくり
20240206,07,3,3,4960,まくり
20240206,07,4,1,4342,逃げ
20240206,07,5,4,3984,まくり
20240206,07,6,1,4227,逃げ
20240206,07,7,3,4483,まくり
20240206,07,8,1,4604,逃げ
20240206,07,9,1,4269,逃げ
20240206,09,10,1,3843,逃げ
20240206,09,11,1,3963,逃げ
20240206,09,12,1,4579,逃げ
20240206,09,1,1,4172,逃げ
20240206,09,2,1,4139,逃げ
20240206,09,3,6,4888,まくり差し
20240206,09,4,4,3350,まくり差し
20240206,09,5,1,4509,逃げ
20240206,09,6,2,4579,差し
20240206,09,7,3,3963,まくり差し
20240206,09,8,4,4080,差し
20240206,09,9,1,4436,逃げ
20240206,11,10,1,4908,逃げ
20240206,11,11,1,3606,逃げ
20240206,11,12,1,3721,逃げ
20240206,11,1,1,4274,逃げ
20240206,11,2,1,3867,逃げ
20240206,11,3,2,4411,差し
20240206,11,4,2,4128,抜き
20240206,11,5,2,4182,まくり
20240206,11,6,1,3746,逃げ
20240206,11,7,1,4766,抜き
20240206,11,8,5,3721,差し
20240206,11,9,1,3918,逃げ
20240206,12,10,1,4644,逃げ
20240206,12,11,1,4788,逃げ
20240206,12,12,1,4379,逃げ
20240206,12,1,2,4200,差し
20240206,12,2,1,3769,逃げ
20240206,12,3,2,3951,差し
20240206,12,4,1,4015,逃げ
20240206,12,5,1,3161,逃げ
20240206,12,6,2,5058,差し
20240206,12,7,3,4788,まくり差し
20240206,12,8,1,4910,逃げ
20240206,12,9,2,4120,差し
20240206,14,10,1,4247,逃げ
20240206,14,11,5,3897,まくり
20240206,14,12,4,4948,抜き
20240206,14,1,1,4134,逃げ
20240206,14,2,6,3307,差し
20240206,14,3,3,4113,まくり
20240206,14,4,1,3439,抜き
20240206,14,5,2,5067,恵まれ
20240206,14,6,3,3897,まくり差し
20240206,14,7,1,4113,逃げ
20240206,14,8,1,4691,逃げ
20240206,14,9,1,3901,逃げ
20240206,15,10,4,4363,まくり差し
20240206,15,11,1,4090,逃げ
20240206,15,12,1,4424,逃げ
20240206,15,1,5,4905,抜き
20240206,15,2,1,3696,逃げ
20240206,15,3,1,3736,逃げ
20240206,15,4,2,4228,差し
20240206,15,5,1,5005,逃げ
20240206,15,6,1,4677,逃げ
20240206,15,7,5,4713,まくり差し
20240206,15,8,1,4069,逃げ
20240206,15,9,2,4442,まくり
20240206,16,10,1,3900,逃げ
20240206,16,11,1,4501,恵まれ
20240206,16,12,1,4482,逃げ
20240206,16,1,1,4098,逃げ
20240206,16,2,1,3580,逃げ
20240206,16,3,1,3357,逃げ
20240206,16,4,5,4556,差し
20240206,16,5,1,4964,逃げ
20240206,16,6,1,3435,逃げ
20240206,16,7,1,4017,逃げ
20240206,16,8,1,3993,逃げ
20240206,16,9,1,3232,逃げ
20240206,18,10,1,4402,逃げ
20240206,18,11,1,4437,逃げ
20240206,18,12,1,3842,逃げ
20240206,18,1,1,4889,逃げ
20240206,18,2,1,3792,逃げ
20240206,18,3,1,4452,逃げ
20240206,18,4,1,4824,逃げ
20240206,18,5,1,3347,逃げ
20240206,18,6,1,3072,逃げ
20240206,18,7,1,5000,逃げ
20240206,18,8,1,4855,逃げ
20240206,18,9,2,3619,差し
20240206,21,10,3,4079,抜き
20240206,21,11,2,4320,抜き
20240206,21,12,1,3783,逃げ
20240206,21,1,3,4256,まくり差し
20240206,21,2,1,4155,逃げ
20240206,21,3,1,4736,逃げ
20240206,21,4,1,4715,逃げ
20240206,21,5,1,3779,逃げ
20240206,21,6,1,4351,逃げ
20240206,21,7,6,3623,差し
20240206,21,8,6,4531,差し
20240206,21,9,2,4403,抜き
